Date,Open,High,Low,Close,tick_volume,spread,real_volume
2024-12-31 22:00:00,2613.64,2626.6,2612.42,2625.86,7130,13,0
2024-12-31 23:00:00,2625.73,2627.15,2622.37,2625.18,5900,13,0
2025-01-01 00:00:00,2625.28,2627.52,2623.15,2624.26,4446,13,0
2025-01-01 01:00:00,2624.24,2627.14,2622.59,2624.88,4525,13,0
2025-01-01 02:00:00,2624.88,2627.18,2622.8,2623.8,3222,13,0
2025-01-01 03:00:00,2623.8,2624.95,2622.01,2623.24,3231,13,0
2025-01-01 04:00:00,2623.0,2624.89,2622.83,2624.22,898,13,0
2025-01-02 06:00:00,2624.53,2625.63,2621.61,2623.69,1671,13,0
2025-01-02 07:00:00,2623.87,2627.89,2622.71,2625.39,2407,13,0
2025-01-02 08:00:00,2625.4,2634.44,2623.83,2632.98,6063,13,0
2025-01-02 09:00:00,2632.97,2636.46,2632.32,2634.72,4587,13,0
2025-01-02 10:00:00,2634.67,2635.38,2632.32,2633.55,3442,13,0
2025-01-02 11:00:00,2633.57,2634.16,2631.07,2634.0,2293,13,0
2025-01-02 12:00:00,2634.0,2636.44,2633.11,2634.07,3482,13,0
2025-01-02 13:00:00,2634.08,2635.38,2631.28,2634.12,3834,13,0
2025-01-02 14:00:00,2634.16,2635.96,2633.01,2635.96,3586,13,0
2025-01-02 15:00:00,2635.96,2637.73,2631.09,2636.52,4473,13,0
2025-01-02 16:00:00,2636.52,2639.91,2636.04,2636.13,4100,13,0
2025-01-02 17:00:00,2636.14,2646.28,2632.76,2642.66,5519,13,0
2025-01-02 18:00:00,2642.66,2644.61,2640.32,2642.0,4039,13,0
2025-01-02 19:00:00,2642.01,2646.49,2640.36,2643.36,4902,13,0
2025-01-02 20:00:00,2643.31,2647.22,2636.05,2642.98,7815,13,0
2025-01-02 21:00:00,2642.98,2651.01,2640.38,2647.76,8115,13,0
2025-01-02 22:00:00,2647.56,2655.81,2645.16,2654.14,8377,13,0
2025-01-02 23:00:00,2654.14,2660.4,2650.03,2659.3,7551,13,0
2025-01-03 00:00:00,2659.3,2660.39,2652.58,2656.55,5914,13,0
2025-01-03 01:00:00,2656.56,2658.83,2653.85,2655.45,5531,13,0
2025-01-03 02:00:00,2655.44,2657.15,2653.8,2654.68,4809,13,0
2025-01-03 03:00:00,2654.68,2660.46,2654.14,2659.69,4501,13,0
2025-01-03 04:00:00,2659.72,2660.18,2656.53,2658.12,1343,12,0
2025-01-03 06:00:00,2658.46,2659.54,2657.24,2658.33,1207,13,0
2025-01-03 07:00:00,2658.33,2661.03,2658.26,2660.74,2196,13,0
2025-01-03 08:00:00,2660.74,2662.36,2656.68,2659.41,4214,13,0
2025-01-03 09:00:00,2659.37,2663.93,2656.24,2662.53,4501,13,0
2025-01-03 10:00:00,2662.53,2665.29,2661.31,2662.33,3129,13,0
2025-01-03 11:00:00,2662.31,2664.4,2661.75,2662.87,1951,13,0
2025-01-03 12:00:00,2662.87,2662.96,2655.92,2658.54,3433,13,0
2025-01-03 13:00:00,2658.54,2660.33,2656.73,2659.68,3332,13,0
2025-01-03 14:00:00,2659.66,2659.66,2651.87,2654.31,4246,13,0
