Date,GridPrice
1/13/2025 14:00:00,2475.01
1/13/2025 14:00:00,2575.01
1/13/2025 14:00:00,2075.01
1/13/2025 14:00:00,3075.01
1/13/2025 14:00:00,2425.01
1/13/2025 14:00:00,2375.01
1/14/2025 14:00:00,2084.16
1/14/2025 14:00:00,2684.16
1/14/2025 14:00:00,3584.16
1/14/2025 14:00:00,2434.16
1/14/2025 14:00:00,3984.16
1/14/2025 14:00:00,2234.16
1/14/2025 14:00:00,2584.16
1/14/2025 14:00:00,2034.16
1/14/2025 14:00:00,2734.16
1/14/2025 14:00:00,2584.16
1/14/2025 14:00:00,2784.16
1/14/2025 14:00:00,2384.16
1/14/2025 14:00:00,3084.16
1/14/2025 14:00:00,2334.16
1/14/2025 14:00:00,1984.16
1/14/2025 14:00:00,3234.16
1/14/2025 14:00:00,2984.16
1/14/2025 14:00:00,2484.16
1/15/2025 14:00:00,2586.79
1/15/2025 14:00:00,2386.79
1/15/2025 14:00:00,3986.79
1/15/2025 14:00:00,2786.79
1/15/2025 14:00:00,2736.79
1/15/2025 14:00:00,3086.79
1/15/2025 14:00:00,1986.79
1/15/2025 14:00:00,2586.79
1/15/2025 14:00:00,2086.79
1/15/2025 14:00:00,3586.79
1/15/2025 14:00:00,2486.79
1/15/2025 14:00:00,2036.79
1/15/2025 14:00:00,3236.79
1/15/2025 14:00:00,2336.79
1/15/2025 14:00:00,2236.79
1/15/2025 14:00:00,2436.79
1/15/2025 14:00:00,2986.79
1/15/2025 14:00:00,2686.79
1/16/2025 14:00:00,3970.82
1/16/2025 14:00:00,2320.82
1/16/2025 14:00:00,2570.82
1/16/2025 14:00:00,2220.82
1/16/2025 14:00:00,1970.82
1/16/2025 14:00:00,2970.82
1/16/2025 14:00:00,2020.82
1/16/2025 14:00:00,2420.82
1/16/2025 14:00:00,3070.82
1/16/2025 14:00:00,3220.82
1/16/2025 14:00:00,2070.82
1/16/2025 14:00:00,2470.82
1/16/2025 14:00:00,2770.82
1/16/2025 14:00:00,2720.82
1/16/2025 14:00:00,2570.82
1/16/2025 14:00:00,3570.82
1/16/2025 14:00:00,2370.82
1/16/2025 14:00:00,2670.82
1/17/2025 14:00:00,2020.77
1/17/2025 14:00:00,2720.77
1/17/2025 14:00:00,3570.77
1/17/2025 14:00:00,3970.77
1/17/2025 14:00:00,2420.77
1/17/2025 14:00:00,1970.77
1/17/2025 14:00:00,2370.77
1/17/2025 14:00:00,2570.77
1/17/2025 14:00:00,2220.77
1/17/2025 14:00:00,2670.77
1/17/2025 14:00:00,3220.77
1/17/2025 14:00:00,2070.77
1/17/2025 14:00:00,2970.77
1/17/2025 14:00:00,2470.77
1/17/2025 14:00:00,2770.77
1/17/2025 14:00:00,2570.77
1/17/2025 14:00:00,3070.77
1/20/2025 14:00:00,2708.6
1/20/2025 14:00:00,2558.6
1/20/2025 14:00:00,3958.6
1/20/2025 14:00:00,2458.6
1/20/2025 14:00:00,2758.6
1/20/2025 14:00:00,3058.6
1/20/2025 14:00:00,2658.6
1/20/2025 14:00:00,2008.6
1/20/2025 14:00:00,2208.6
1/20/2025 14:00:00,1958.6
1/20/2025 14:00:00,3558.6
1/20/2025 14:00:00,2558.6
1/20/2025 14:00:00,2958.6
1/20/2025 14:00:00,2358.6
1/20/2025 14:00:00,2058.6
1/20/2025 14:00:00,3208.6
1/21/2025 14:00:00,2230.81
1/21/2025 14:00:00,2780.81
1/21/2025 14:00:00,2680.81
1/21/2025 14:00:00,2030.81
1/21/2025 14:00:00,3980.81
1/21/2025 14:00:00,2480.81
1/21/2025 14:00:00,2580.81
1/21/2025 14:00:00,1980.81
1/21/2025 14:00:00,2380.81
1/21/2025 14:00:00,2580.81
1/21/2025 14:00:00,3580.81
1/21/2025 14:00:00,2080.81
1/21/2025 14:00:00,2730.81
1/21/2025 14:00:00,3230.81
1/21/2025 14:00:00,2980.81
1/21/2025 14:00:00,3080.81
1/22/2025 14:00:00,2586.15
1/22/2025 14:00:00,2686.15
1/22/2025 14:00:00,3236.15
1/22/2025 14:00:00,2386.15
1/22/2025 14:00:00,2486.15
1/22/2025 14:00:00,3986.15
1/22/2025 14:00:00,2986.15
1/22/2025 14:00:00,1986.15
1/22/2025 14:00:00,2236.15
1/22/2025 14:00:00,2786.15
